Conversation ID,Profile,Duration (s),Status,Questions
chat_20251016_163456_batch_196,ppd_urgent,53.19,completed,10
chat_20251016_163549_batch_197,ppd_low,47.13,completed,10
chat_20251016_163637_batch_198,ppd_low,51.90,completed,10
chat_20251016_163729_batch_199,ppd_possible,53.12,completed,10
chat_20251016_163822_batch_200,ppd_low,53.76,completed,10
chat_20251016_163915_batch_201,ppd_urgent,53.33,completed,10
chat_20251016_164009_batch_202,ppd_low,52.40,completed,10
chat_20251016_164101_batch_203,ppd_probable,60.52,completed,10
chat_20251016_164202_batch_204,ppd_high,53.64,completed,10
chat_20251016_164255_batch_205,ppd_high,49.93,completed,10
chat_20251016_164345_batch_206,ppd_high,52.34,completed,10
chat_20251016_164438_batch_207,ppd_possible,15.40,error,N/A
chat_20251016_164453_batch_208,ppd_urgent,51.70,completed,10
chat_20251016_164545_batch_209,ppd_probable,52.40,completed,10
chat_20251016_164637_batch_210,ppd_urgent,53.45,completed,10
chat_20251016_164731_batch_211,ppd_high,48.40,completed,10
chat_20251016_164819_batch_212,ppd_low,49.37,completed,10
chat_20251016_164909_batch_213,ppd_high,52.56,completed,10
chat_20251016_165001_batch_214,ppd_probable,50.64,completed,10
chat_20251016_165052_batch_215,ppd_high,49.38,completed,10
chat_20251016_165141_batch_216,ppd_low,49.20,completed,10
chat_20251016_165230_batch_217,ppd_low,47.45,completed,10
chat_20251016_165318_batch_218,ppd_possible,49.50,completed,10
chat_20251016_165407_batch_219,ppd_possible,53.38,completed,10
chat_20251016_165501_batch_220,ppd_possible,50.50,completed,10
chat_20251016_165551_batch_221,ppd_low,48.47,completed,10
chat_20251016_165640_batch_222,ppd_urgent,52.86,completed,10
chat_20251016_165733_batch_223,ppd_possible,59.42,completed,10
chat_20251016_165832_batch_224,ppd_probable,50.24,completed,10
chat_20251016_165922_batch_225,ppd_probable,51.91,completed,10
chat_20251016_170014_batch_226,ppd_urgent,52.18,completed,10
chat_20251016_170106_batch_227,ppd_high,50.12,completed,10
chat_20251016_170157_batch_228,ppd_possible,51.06,completed,10
chat_20251016_170248_batch_229,ppd_urgent,50.21,completed,10
chat_20251016_170338_batch_230,ppd_probable,55.36,completed,10
chat_20251016_170433_batch_231,ppd_high,53.43,completed,10
chat_20251016_170527_batch_232,ppd_probable,55.15,completed,10
chat_20251016_170622_batch_233,ppd_high,51.03,completed,10
chat_20251016_170713_batch_234,ppd_probable,49.87,completed,10
chat_20251016_170803_batch_235,ppd_low,50.29,completed,10
chat_20251016_170853_batch_236,ppd_high,53.36,completed,10
chat_20251016_170946_batch_237,ppd_urgent,54.65,completed,10
chat_20251016_171041_batch_238,ppd_possible,54.23,completed,10
chat_20251016_171135_batch_239,ppd_possible,55.16,completed,10
chat_20251016_171231_batch_240,ppd_probable,56.10,completed,10
chat_20251016_171327_batch_241,ppd_high,56.92,completed,10
chat_20251016_171424_batch_242,ppd_probable,52.47,completed,10
chat_20251016_171516_batch_243,ppd_possible,50.54,completed,10
chat_20251016_171607_batch_244,ppd_high,49.39,completed,10
chat_20251016_171656_batch_245,ppd_low,48.65,completed,10
chat_20251016_171745_batch_246,ppd_possible,81.82,completed,10
chat_20251016_171906_batch_247,ppd_low,73.96,completed,10
chat_20251016_172020_batch_248,ppd_urgent,72.47,completed,10
chat_20251016_172133_batch_249,ppd_low,49.07,completed,10
chat_20251016_172222_batch_250,ppd_low,48.58,completed,10
chat_20251016_172311_batch_251,ppd_urgent,54.89,completed,10
chat_20251016_172406_batch_252,ppd_probable,51.35,completed,10
chat_20251016_172457_batch_253,ppd_urgent,54.51,completed,10
chat_20251016_172551_batch_254,ppd_low,47.50,completed,10
chat_20251016_172639_batch_255,ppd_possible,51.65,completed,10
chat_20251016_172731_batch_256,ppd_urgent,52.70,completed,10
chat_20251016_172823_batch_257,ppd_low,50.35,completed,10
chat_20251016_172914_batch_258,ppd_low,54.16,completed,10
chat_20251016_173008_batch_259,ppd_urgent,52.57,completed,10
chat_20251016_173100_batch_260,ppd_probable,57.60,completed,10
chat_20251016_173158_batch_261,ppd_low,51.47,completed,10
chat_20251016_173250_batch_262,ppd_urgent,56.83,completed,10
chat_20251016_173346_batch_263,ppd_probable,50.64,completed,10
chat_20251016_173437_batch_264,ppd_low,49.43,completed,10
chat_20251016_173527_batch_265,ppd_probable,51.05,completed,10
chat_20251016_173618_batch_266,ppd_high,50.81,completed,10
chat_20251016_173708_batch_267,ppd_low,46.56,completed,10
chat_20251016_173755_batch_268,ppd_low,49.17,completed,10
chat_20251016_173844_batch_269,ppd_low,49.87,completed,10
chat_20251016_173934_batch_270,ppd_urgent,51.45,completed,10
chat_20251016_174026_batch_271,ppd_probable,61.69,completed,10
chat_20251016_174127_batch_272,ppd_urgent,60.17,completed,10
chat_20251016_174228_batch_273,ppd_high,69.34,completed,10
chat_20251016_174337_batch_274,ppd_high,73.32,completed,10
chat_20251016_174450_batch_275,ppd_urgent,51.41,completed,10
chat_20251016_174542_batch_276,ppd_probable,55.09,completed,10
chat_20251016_174637_batch_277,ppd_urgent,59.55,completed,10
chat_20251016_174736_batch_278,ppd_possible,55.34,completed,10
chat_20251016_174832_batch_279,ppd_possible,54.22,completed,10
chat_20251016_174926_batch_280,ppd_low,50.89,completed,10
chat_20251016_175017_batch_281,ppd_possible,50.61,completed,10
chat_20251016_175108_batch_282,ppd_urgent,57.98,completed,10
chat_20251016_175206_batch_283,ppd_probable,67.57,completed,10
chat_20251016_175313_batch_284,ppd_probable,52.13,completed,10
chat_20251016_175405_batch_285,ppd_high,56.51,completed,10
chat_20251016_175502_batch_286,ppd_low,49.32,completed,10
chat_20251016_175551_batch_287,ppd_urgent,52.67,completed,10
chat_20251016_175644_batch_288,ppd_possible,53.43,completed,10
chat_20251016_175737_batch_289,ppd_high,54.88,completed,10
chat_20251016_175832_batch_290,ppd_high,50.90,completed,10
chat_20251016_175923_batch_291,ppd_probable,52.63,completed,10
chat_20251016_180016_batch_292,ppd_possible,64.95,completed,10
chat_20251016_180121_batch_293,ppd_probable,58.35,completed,10
chat_20251016_180219_batch_294,ppd_urgent,54.08,completed,10
chat_20251016_180313_batch_295,ppd_urgent,56.43,completed,10
chat_20251016_180410_batch_296,ppd_high,55.81,completed,10
chat_20251016_180506_batch_297,ppd_possible,52.48,completed,10
chat_20251016_180558_batch_298,ppd_urgent,56.91,completed,10
chat_20251016_180655_batch_299,ppd_low,50.80,completed,10
chat_20251016_180746_batch_300,ppd_possible,55.39,completed,10
chat_20251016_180841_batch_301,ppd_probable,55.68,completed,10
chat_20251016_180937_batch_302,ppd_urgent,55.59,completed,10
chat_20251016_181032_batch_303,ppd_low,51.87,completed,10
chat_20251016_181124_batch_304,ppd_high,56.02,completed,10
chat_20251016_181220_batch_305,ppd_high,54.36,completed,10
chat_20251016_181315_batch_306,ppd_urgent,57.01,completed,10
chat_20251016_181412_batch_307,ppd_urgent,56.64,completed,10
chat_20251016_181509_batch_308,ppd_possible,55.24,completed,10
chat_20251016_181604_batch_309,ppd_probable,55.15,completed,10
chat_20251016_181659_batch_310,ppd_possible,55.02,completed,10
chat_20251016_181754_batch_311,ppd_high,51.53,completed,10
chat_20251016_181846_batch_312,ppd_probable,50.08,completed,10
chat_20251016_181936_batch_313,ppd_probable,52.80,completed,10
chat_20251016_182028_batch_314,ppd_low,49.16,completed,10
chat_20251016_182118_batch_315,ppd_high,50.96,completed,10
chat_20251016_182209_batch_316,ppd_urgent,65.45,completed,10
chat_20251016_182314_batch_317,ppd_urgent,52.58,completed,10
chat_20251016_182407_batch_318,ppd_low,47.45,completed,10
chat_20251016_182454_batch_319,ppd_probable,51.64,completed,10
chat_20251016_182546_batch_320,ppd_possible,51.40,completed,10
chat_20251016_182637_batch_321,ppd_possible,51.68,completed,10
chat_20251016_182729_batch_322,ppd_urgent,51.50,completed,10
chat_20251016_182821_batch_323,ppd_low,49.02,completed,10
